BGR,Difference,DigitSum
003,4,3
007,3,7
010,4,1
014,4,5
018,3,9
021,4,3
025,7,7
032,4,5
036,7,9
043,4,7
047,3,11
050,4,5
054,4,9
058,3,13
061,4,7
065,7,11
072,4,9
076,7,13
083,4,11
087,13,15
100,4,1
104,4,5
108,3,9
111,4,3
115,7,7
122,4,5
126,7,9
133,4,7
137,3,11
140,4,5
144,4,9
148,3,13
151,4,7
155,7,11
162,4,9
166,7,13
173,4,11
177,3,15
180,4,9
184,4,13
188,13,17
201,4,3
205,7,7
212,4,5
216,4,9
220,4,4
224,4,8
228,13,12
241,4,7
245,7,11
252,4,9
256,4,13
260,4,8
264,4,12
268,13,16
281,4,11
285,17,15
302,4,5
306,7,9
313,4,7
317,13,11
330,4,6
334,4,10
338,4,14
342,4,9
346,7,13
353,4,11
357,13,15
370,4,10
374,4,14
378,4,18
382,4,13
386,17,17
403,4,7
407,3,11
410,4,5
414,4,9
418,3,13
421,4,7
425,7,11
432,4,9
436,7,13
443,4,11
447,3,15
450,4,9
454,4,13
458,3,17
461,4,11
465,7,15
472,4,13
476,7,17
483,4,15
487,13,19
500,4,5
504,4,9
508,3,13
511,4,7
515,7,11
522,4,9
526,7,13
533,4,11
537,3,15
540,4,9
544,4,13
548,3,17
551,4,11
555,7,15
562,4,13
566,7,17
573,4,15
577,3,19
580,4,13
584,4,17
588,13,21
601,4,7
605,7,11
612,4,9
616,4,13
620,4,8
624,4,12
628,13,16
641,4,11
645,7,15
652,4,13
656,4,17
660,4,12
664,4,16
668,13,20
681,4,15
685,17,19
702,4,9
706,7,13
713,4,11
717,13,15
730,4,10
734,4,14
738,4,18
742,4,13
746,7,17
753,4,15
757,13,19
770,4,14
774,4,18
778,4,22
782,4,17
786,17,21
803,4,11
807,3,15
810,4,9
814,4,13
818,3,17
821,4,11
825,7,15
832,4,13
836,7,17
843,4,15
847,3,19
850,4,13
854,4,17
858,3,21
861,4,15
865,7,19
872,4,17
876,7,21
883,4,19
887,,23
